User ID,MTurk ID,MTurk Code,Browser,Device,Preference,Comments,Sequence,avgclicktimecmdmp,avgclicktimeribbons,avgclicktimedifference
40,A2UX7ZJEGGU5,432b,"Mozilla/5.0 (X11; CrOS armv7l 4319.96.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.74 Safari/537.36",trackpad,ribbons,"I really liked the song, the picture that flashed right before this screen kind of freaked me out. This was fun.","Ribbon,Commandmap",1903.4,2964.4333,1061.0333
42,,2.80E+03,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36",mouse,ribbons,"I didn't have the ""no-music"" condition... only relying on between-subject variance??","Commandmap,Ribbon",1816.3333,2212.0667,395.7334
44,,391a,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.62 Safari/537.36",mouse,ribbons,,"Commandmap,Ribbon",2059.7333,2141,81.2667
45,A1YWJ3SMYC3W23,cd31,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",trackpad,commandmaps,"No technical difficulties, though that music was one of the most irritating melodies I've heard in a while. The repetitive music is not only doesn't help with concentration, it is a huge distraction.","Commandmap,Ribbon",1859.1667,2809.4,950.2333
49,,f8e9,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",trackpad,commandmaps,,"Commandmap,Ribbon",1730.5,2957.1667,1226.6667
50,AIQB7XXL5K2FR,9d58,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20100101 Firefox/23.0,mouse,ribbons,,"Ribbon,Commandmap",1788.5333,2197.5667,409.0334
51,A8028AFBBS29G,7045,Mozilla/5.0 (Windows NT 6.0; rv:23.0) Gecko/20100101 Firefox/23.0,mouse,commandmaps,interesting the music was sort of distracting for me.,"Commandmap,Ribbon",1702.7667,2768.2333,1065.4666
52,A3O81LHBBI8NPK,1930,Mozilla/5.0 (Windows NT 5.1; rv:20.0) Gecko/20100101 Firefox/20.0,mouse,commandmaps,"HOLY FUCK. lmfao That was just cruel as hell!! That was an horrible and awesome end to this little task. I like you, requester. I like you a lot... for some reason! ;) I like that song though, despite falling out of my damn chair from jumping back super fast. Very enjoyable!","Ribbon,Commandmap",1742.9,3050.4,1307.5
56,A3QB0Z9AN62HFH,35d2,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",mouse,commandmaps,,"Commandmap,Ribbon",1963.2,3312.1667,1348.9667
57,AD1ILDUXZHASF,a1a6,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",mouse,commandmaps,lol. I did this without sound since my headphones broke and I'm the library. GG Nice try.,"Ribbon,Commandmap",1666.4333,1886.4333,220
58,AQ7RNVB2GZKUZ,e6de,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",trackpad,commandmaps,,"Commandmap,Ribbon",1955.3333,2569.1,613.7667
59,AONWUHDAH9MA1,bfe2,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",mouse,commandmaps,Uhhh... that screamer can really traumatize someone. Not sure how ethical that was.,"Ribbon,Commandmap",1521.4,2027.5667,506.1667
60,A3MWV912LNFD67,1d8b,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20100101 Firefox/23.0,mouse,ribbons,,"Commandmap,Ribbon",5208.9667,3353.5667,-1855.4
65,A2WNW8A4MOR7T7,28fc,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",mouse,commandmaps,,"Ribbon,Commandmap",2099.2,3011.6,912.4
66,A646R8SV0S04Y,0d12,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.57 Safari/537.36",mouse,ribbons,,"Ribbon,Commandmap",1684.0667,2762.5667,1078.5
68,A166A2M31CW2C7,de90,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",mouse,commandmaps,,"Ribbon,Commandmap",1679.2667,1728.7,49.4333
69,A2BNOEYZ3VRW2R,3c03,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",mouse,commandmaps,,"Ribbon,Commandmap",1899.5333,3624.3667,1724.8334
79,,d423,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20100101 Firefox/23.0,mouse,ribbons,"the final image was cruel and unnecessary. I was alone in my room, and I freaked out.","Ribbon,Commandmap",1545.3667,2317.8667,772.5
82,,6511,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",mouse,ribbons,Why the scream at the end?,"Commandmap,Ribbon",1297.3,1617.8667,320.5667
83,,83f5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",trackpad,commandmaps,,"Commandmap,Ribbon",1780.8333,2622.8333,842
85,,ab78,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",trackpad,commandmaps,Not cool with the care with the end.,"Commandmap,Ribbon",1758.6333,2821,1062.3667
87,,db79,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",trackpad,commandmaps,,"Ribbon,Commandmap",1575.3667,2403.8667,828.5
91,,c250,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",trackpad,commandmaps,,"Ribbon,Commandmap",1867.3,2441.4667,574.1667
95,,6c6b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",trackpad,ribbons,,"Commandmap,Ribbon",1991.9,2884.5333,892.6333
97,,3b0c,Mozilla/5.0 (Windows NT 6.0; WOW64; rv:23.0) Gecko/20100101 Firefox/23.0,mouse,commandmaps,,"Ribbon,Commandmap",1260.7667,1696.0333,435.2666
99,,712d,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.64 Safari/537.31",trackpad,commandmaps,,"Commandmap,Ribbon",1491.5,2256.0667,764.5667
100,,6fdf,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:25.0) Gecko/20100101 Firefox/25.0,trackpad,ribbons,That picture was terrifying.,"Commandmap,Ribbon",1987.3,2726.0667,738.7667
101,,3198,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36",trackpad,commandmaps,,"Commandmap,Ribbon",1637.6667,1972.9,335.2333
104,,c081,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:24.0) Gecko/20100101 Firefox/24.0,mouse,commandmaps,Funny,"Commandmap,Ribbon",1956.9667,3184.9,1227.9333
109,,be45,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.4 (KHTML, like Gecko) Chrome/22.0.1229.94 Safari/537.4",trackpad,commandmaps,,"Commandmap,Ribbon",1854.3333,2872.5333,1018.2
110,,2d87,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/28.0.1500.95 Safari/537.36",mouse,ribbons,1) Unclear that you could actually click other tabs. 2) WTF was that at the end?!,"Ribbon,Commandmap",1609.4333,1709.9667,100.5334
112,,c9d9,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",trackpad,commandmaps,,"Ribbon,Commandmap",1595.4333,2651.7,1056.2667
113,,2.00E+67,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",mouse,ribbons,,"Ribbon,Commandmap",1355.9667,2069.3333,713.3666
118,,a2a3,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.8; rv:23.0) Gecko/20100101 Firefox/23.0,trackpad,commandmaps,,"Ribbon,Commandmap",1727.4333,2365.1,637.6667
125,,b081,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",trackpad,ribbons,the freaky image at the end was not cool. why???????,"Commandmap,Ribbon",1828.9333,2490.5333,661.6
127,,b7c1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.65 Safari/537.36",trackpad,ribbons,,"Ribbon,Commandmap",1830.9667,2992.5,1161.5333
133,,d7d2,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",trackpad,commandmaps,"why the scary screaming lady!! one of my major frustrations with the new(ish) ribbon on MW is that if i dont know where something is, it takes so long to find it because somehow clicking between and skimming i always miss it the first 2 times-- possibly because i am not convinced it is there, where as if i had everything in front of me, i know it is there somewhere and therefore find it quicker/with less frustration because I know if i dont see it its because im missing it, not because im in the wrong place (i think) on the other hand, at first glance the second interface is seriously overwhelming","Ribbon,Commandmap",1967.0333,2386.2667,419.2334
134,,ea4b,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",trackpad,ribbons,,"Commandmap,Ribbon",2189.3,2952.1667,762.8667
135,,e436,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1626.0 Safari/537.36",mouse,ribbons,,"Commandmap,Ribbon",1784,2236.6667,452.6667
136,,fa3e,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.4 Safari/537.36",trackball,ribbons,"Great music! At first it wasn't clear that the interface is ""live"". So when the first time the ""Chart"" icon appeared, I couldn't find it at all on the default UI and only after a very long time did I realize that the ""insert"" UI tab actually works. If it was in the instructions (that the UI is actually responsive) I missed it. Maybe a demo, where the target appears and then a second later it's highlighted in the UI, esp for tabbed menu items. Similarly, there are many ways to navigate the UI... keyboard shortcuts, the actual menu bar, etc. It should be made clear that only a subset of these are supported.","Ribbon,Commandmap",1818.5333,2909.9,1091.3667
140,,5746,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",mouse,ribbons,,"Ribbon,Commandmap",1659.6,1866.5,206.9
141,,d583,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",trackpad,commandmaps,"only a few symbols were used, and i quickly learned where i was supposed to click. whether the music helped or not, i improved over time as the same symbols came up.","Ribbon,Commandmap",1578.3667,2222.6667,644.3
142,,1f03,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",trackpad,commandmaps,,"Commandmap,Ribbon",1650.4,2660.4667,1010.0667
152,,0a44,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.56 Safari/537.17",trackpad,commandmaps,Thanks for the face........... PS dog interrupted,"Commandmap,Ribbon",1443.5667,2102.4,658.8333
156,,c541,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",trackpad,commandmaps,,"Ribbon,Commandmap",2313.3333,3082.6,769.2667
160,,bbd0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",trackpad,commandmaps,My heart is racing from that thing that popped up.,"Commandmap,Ribbon",1779.8667,2467.7667,687.9
164,,5f5f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",trackpad,commandmaps,"i positioned the cursor correctly, but sometimes when i tried to click, the trackpad moved the cursor left several cm","Commandmap,Ribbon",2300.7667,3151.0333,850.2666
165,,fdcb,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",trackpad,commandmaps,,"Commandmap,Ribbon",1479.9333,2341.3,861.3667
168,,78d3,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",mouse,commandmaps,,"Ribbon,Commandmap",1193.9333,1758.1667,564.2334
169,,ca5b,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",mouse,commandmaps,,"Commandmap,Ribbon",1160.5,1453.9,293.4
170,,9.10E+01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",trackpad,commandmaps,,"Commandmap,Ribbon",1529.0333,2754.6333,1225.6
173,,09ca,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20100101 Firefox/23.0,mouse,ribbons,,"Commandmap,Ribbon",3457.6333,2195.3667,-1262.2666
174,,bafe,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",trackpad,commandmaps,,"Ribbon,Commandmap",1472.1,1908.8333,436.7333
179,,eb01,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36",trackpad,ribbons,,"Commandmap,Ribbon",1592.3,1977.6,385.3
180,,6.70E+05,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1",mouse,commandmaps,Great!! From Spain,"Commandmap,Ribbon",2063.9333,2311.2667,247.3334
,,,,,,,,,,
